SYMBOL,ROLL_OI_PCT_6M,ROLL_COST_PCT_6M
360ONE,69.898,0.3779
AARTIIND,82.0425,0.5832
ABB,89.6684,0.5559
ABCAPITAL,91.7252,0.5642
ABFRL,70.3067,0.7761
ACC,77.3748,0.2244
ADANIENSOL,88.4279,0.6354
ADANIENT,84.8363,0.6289
ADANIGREEN,83.5444,0.6699
ADANIPORTS,84.9882,0.5213
ALKEM,87.2609,0.2178
AMBER,88.6825,-0.7213
AMBUJACEM,82.5035,0.5529
ANGELONE,80.8671,0.2383
APLAPOLLO,86.0438,0.5405
APOLLOHOSP,85.5256,0.5386
ASHOKLEY,87.6147,-0.1858
ASIANPAINT,87.4103,0.3726
ASTRAL,88.9263,0.3825
ATGL,81.975,0.6875
AUBANK,89.3976,0.272
AUROPHARMA,89.8573,0.6084
AXISBANK,87.7797,0.616
BAJAJ-AUTO,87.7325,0.4097
BAJAJFINSV,81.9116,0.5589
BAJFINANCE,87.56,0.5478
BALKRISIND,88.8564,0.4414
BANDHANBNK,85.1524,0.3681
BANKBARODA,86.4793,0.5662
BANKINDIA,86.0785,0.6542
BANKNIFTY,77.3268,0.5406
BDL,80.8243,0.6064
BEL,86.7327,0.5384
BHARATFORG,89.0707,0.184
BHARTIARTL,83.0633,0.5057
BHEL,83.6472,0.4599
BIOCON,82.362,0.6598
BLUESTARCO,82.6825,0.1719
BOSCHLTD,87.2126,0.3839
BPCL,76.0215,0.2353
BRITANNIA,82.802,0.2934
BSE,80.3615,0.6086
BSOFT,77.6653,0.7978
CAMS,75.643,0.4156
CANBK,85.3509,0.546
CDSL,89.8532,0.1712
CESC,77.6259,0.5584
CGPOWER,86.9619,0.6118
CHAMBLFERT,71.9888,0.7597
CHOLAFIN,92.2466,-0.5471
CIPLA,87.569,0.3778
COALINDIA,81.3893,0.0206
COFORGE,88.5726,0.4525
COLPAL,87.2868,0.3275
CONCOR,85.1479,0.4812
CROMPTON,93.2114,0.4482
CUMMINSIND,84.8744,0.3621
CYIENT,81.7779,0.1722
DABUR,85.7876,0.3106
DALBHARAT,76.5852,0.3621
DELHIVERY,89.3407,0.4315
DIVISLAB,87.4766,0.4697
DIXON,83.4919,0.6326
DLF,82.1395,0.5619
DMART,88.3934,0.0027
DRREDDY,87.0726,0.1408
EICHERMOT,83.7047,0.3007
ETERNAL,89.1203,0.4815
EXIDEIND,84.1182,0.5504
FEDERALBNK,80.104,0.2599
FINNIFTY,60.8044,0.4842
FORTIS,89.4986,0.508
GAIL,83.6724,0.5433
GLENMARK,86.0765,0.6031
GMRAIRPORT,86.5279,0.6289
GODREJCP,84.4843,0.244
GODREJPROP,87.4499,0.6367
GRANULES,79.078,0.601
GRASIM,89.6613,0.5153
HAL,82.1844,0.5312
HAVELLS,86.3242,0.4904
HCLTECH,85.2231,0.3356
HDFCAMC,86.199,0.4566
HDFCBANK,89.456,0.4391
HDFCLIFE,83.6646,0.5377
HEROMOTOCO,88.3552,-0.246
HFCL,85.1679,0.5831
HINDALCO,89.7777,0.4156
HINDCOPPER,93.5806,0.7923
HINDPETRO,78.5729,0.3887
HINDUNILVR,86.1216,0.2729
HINDZINC,83.3174,0.5847
HUDCO,78.725,0.4535
ICICIBANK,89.0981,0.4204
ICICIGI,83.4411,0.3683
ICICIPRULI,87.9582,0.5361
IDEA,79.755,0.6594
IDFCFIRSTB,88.5271,0.7036
IEX,80.6204,0.6195
IGL,80.4167,0.1882
IIFL,83.9374,0.5254
INDHOTEL,85.6058,0.6872
INDIANB,86.8565,-0.0851
INDIGO,85.252,0.3757
INDUSINDBK,85.3437,0.6033
INDUSTOWER,86.289,0.5948
INFY,86.9886,0.0414
INOXWIND,83.4275,0.5702
IOC,75.757,0.5618
IRB,79.3508,0.7095
IRCTC,81.9416,0.5436
IREDA,87.798,0.014
IRFC,84.1291,0.4047
ITC,83.7427,0.664
JINDALSTEL,82.3636,0.4554
JIOFIN,87.1112,0.5812
JSL,88.9543,0.6114
JSWENERGY,88.0318,0.6225
JSWSTEEL,92.9278,0.544
JUBLFOOD,87.1534,0.5347
KALYANKJIL,85.9551,0.4861
KAYNES,81.2485,0.6004
KEI,81.6261,0.4721
KFINTECH,88.4676,-0.0109
KOTAKBANK,85.6509,0.6318
KPITTECH,85.7311,0.3194
LAURUSLABS,78.5531,0.5453
LICHSGFIN,83.5582,0.4138
LICI,79.2765,0.095
LODHA,86.6094,0.5634
LT,81.2422,0.5016
LTF,85.3688,0.3647
LTIM,91.7305,-0.1167
LUPIN,80.3591,0.5484
M&M,89.4069,0.4477
M&MFIN,86.0745,0.7603
MANAPPURAM,84.5717,0.5688
MANKIND,89.1609,0.4422
MARICO,92.223,0.3525
MARUTI,78.0505,0.3951
MAXHEALTH,86.9943,0.5817
MAZDOCK,83.1196,0.5227
MCX,81.3478,0.5321
MFSL,83.7222,0.4824
MGL,82.0969,0.5795
MIDCPNIFTY,81.3356,0.5238
MOTHERSON,82.7624,0.5558
MPHASIS,76.9014,0.4944
MUTHOOTFIN,79.2501,0.3621
NATIONALUM,81.7821,0.3585
NAUKRI,89.7886,0.4731
NBCC,81.9671,0.5934
NCC,80.4565,0.5008
NESTLEIND,90.9042,0.4405
NHPC,81.53,0.5305
NIFTY,77.0911,0.5214
NIFTYNXT50,85.0174,0.496
NMDC,82.934,0.381
NTPC,83.4461,0.2669
NUVAMA,78.4857,0.3778
NYKAA,82.7312,-0.8005
OBEROIRLTY,86.3431,0.0859
OFSS,82.4994,0.3273
OIL,82.2665,0.2139
ONGC,80.0332,0.3451
PAGEIND,88.7931,-1.0814
PATANJALI,84.3643,0.5971
PAYTM,86.5173,0.6501
PEL,90.8103,-0.4139
PERSISTENT,83.4047,0.541
PETRONET,87.9197,0.3989
PFC,80.9306,0.2759
PGEL,85.0029,0.6268
PHOENIXLTD,83.2016,0.4943
PIDILITIND,87.2506,0.4677
PIIND,88.8977,0.4169
PNB,84.2053,0.5886
PNBHOUSING,85.2871,0.5108
POLICYBZR,88.2548,0.495
POLYCAB,82.3684,0.5678
POONAWALLA,77.9043,-0.43
POWERGRID,82.9386,0.234
POWERINDIA,90.2854,0.5438
PPLPHARMA,79.2837,0.5396
PRESTIGE,84.9442,0.561
RBLBANK,77.0098,0.9331
RECLTD,82.7518,0.2312
RELIANCE,87.6327,0.5501
RVNL,93.1379,-1.3863
SAIL,83.6105,0.262
SAMMAANCAP,93.175,0.9092
SBICARD,87.9716,-0.7661
SBILIFE,84.6714,0.5967
SBIN,81.6441,0.6335
SHREECEM,86.1478,0.2535
SHRIRAMFIN,89.8085,0.4174
SIEMENS,88.5957,0.6014
SJVN,90.7517,0.3389
SOLARINDS,85.7598,0.5565
SONACOMS,85.4658,0.2043
SRF,81.8046,0.6306
SUNPHARMA,85.1822,0.4292
SUPREMEIND,91.4997,0.4238
SUZLON,83.7317,0.5366
SYNGENE,85.906,0.6041
TATACHEM,80.8108,0.109
TATACOMM,69.8345,-0.4614
TATACONSUM,92.2604,0.5486
TATAELXSI,90.8366,-0.6226
TATAMOTORS,82.5446,0.4623
TATAPOWER,84.998,0.5637
TATASTEEL,82.0518,0.5964
TATATECH,83.298,0.3603
TCS,86.0223,0.3688
TECHM,83.7875,0.5306
TIINDIA,85.9546,0.5832
TITAGARH,87.024,0.398
TITAN,85.0983,0.4766
TMPV,92.4772,0.7302
TORNTPHARM,90.1384,0.4315
TORNTPOWER,83.4589,0.536
TRENT,87.4419,0.5023
TVSMOTOR,79.7843,0.4173
ULTRACEMCO,86.7067,0.4761
UNIONBANK,86.4768,0.6305
UNITDSPR,84.1188,0.5529
UNOMINDA,87.4033,0.4677
UPL,87.6567,0.355
VBL,86.2226,0.5497
VEDL,85.1236,0.5504
VOLTAS,90.877,-0.9699
WIPRO,90.5436,-0.0818
YESBANK,80.5426,0.6747
