SYMBOL,SPOT_CLOSE,PREV_SPOT_CLOSE,FUT_NEXT_PRICE,ROLL_COST_PCT_M,ROLL_OI_PCT_M,ROLL_OI_PCT_6M,ROLL_COST_PCT_6M
360ONE,1120.0,1171.8,1124.7,0.2764,79.7934,69.898,0.3779
ABB,5070.5,5175.5,5067.0,0.2473,94.4588,89.6684,0.5559
ABCAPITAL,345.45,312.6,347.1,0.5941,95.3018,91.7252,0.5642
ADANIENSOL,971.5,921.2,977.15,0.6489,92.409,88.4279,0.6354
ADANIENT,2332.9,2494.4,2347.6,0.7208,84.7792,84.8363,0.6289
ADANIGREEN,1011.6,1004.2,1017.3,0.7527,78.1543,83.5444,0.6699
ADANIPORTS,1483.9,1417.9,1492.1,0.7427,86.1497,84.9882,0.5213
ALKEM,5701.0,5432.0,5729.5,0.5881,83.7615,87.2609,0.2178
AMBER,7138.0,8526.5,6941.0,-3.0451,90.1891,88.6825,-0.7213
AMBUJACEM,545.85,554.9,548.55,0.7346,81.0138,82.5035,0.5529
ANGELONE,2687.7,2537.9,2670.3,-0.8061,79.793,80.8671,0.2383
APLAPOLLO,1698.4,1777.0,1706.8,0.6783,81.3211,86.0438,0.5405
APOLLOHOSP,7330.5,7880.5,7370.5,0.6486,81.293,85.5256,0.5386
ASHOKLEY,145.83,140.1,146.49,0.3287,90.6159,87.6147,-0.1858
ASIANPAINT,2875.8,2509.3,2890.4,0.7494,76.377,87.4103,0.3726
ASTRAL,1465.5,1450.2,1450.0,-1.2463,81.0198,88.9263,0.3825
AUBANK,944.05,879.9,947.3,0.6107,91.8623,89.3976,0.272
AUROPHARMA,1208.0,1099.4,1215.7,0.7375,91.9301,89.8573,0.6084
AXISBANK,1266.3,1246.3,1273.1,0.7518,93.5335,87.7797,0.616
BAJAJ-AUTO,9048.0,9057.5,9085.0,0.6592,89.6967,87.7325,0.4097
BAJAJFINSV,2030.2,2140.2,2040.9,0.6559,88.0462,81.9116,0.5589
BAJFINANCE,986.2,1072.75,993.2,0.5467,94.4023,87.56,0.5478
BANDHANBNK,149.63,175.62,150.64,0.6683,81.7536,85.1524,0.3681
